"movie_id","director_id"
"1","1"
"735","1"
"2064","1"
"2203","1"
"2458","1"
"4046","1"
"8407","1"
"9797","1"
"10257","1"
"11518","1"
"16567","1"
"17235","1"
"19991","1"
"24300","1"
"27335","1"
"42988","1"
"61527","1"
"2","2"
"136","2"
"137","2"
"494","2"
"764","2"
"765","2"
"1044","2"
"2177","2"
"2561","2"
"2634","2"
"2729","2"
"3159","2"
"4397","2"
"5264","2"
"8403","2"
"8839","2"
"16780","2"
"24026","2"
"31476","2"
"35440","2"
"41374","2"
"49094","2"
"49095","2"
"49413","2"
"52682","2"
"57776","2"
"2","3"
"10742","3"
"14715","3"
"17368","3"
"23668","3"
"26898","3"
"30289","3"
"43087","3"
"2","4"
"13532","4"
"13819","4"
"19873","4"
"42686","4"
"53258","4"
"2","5"
"16","5"
"133","5"
"267","5"
"329","5"
"468","5"
"1043","5"
"6394","5"
"19126","5"
"34678","5"
"35440","5"
"42207","5"
"45384","5"
"3","6"
"118","6"
"125","6"
"126","6"
"127","6"
"889","6"
"1148","6"
"3229","6"
"3516","6"
"3531","6"
"3548","6"
"14149","6"
"37319","6"
"4","7"
"5","8"
"975","8"
"976","8"
"977","8"
"6","9"
"3596","9"
"15156","9"
"25758","9"
"7","10"
"69","10"
"116","10"
"142","10"
"471","10"
"573","10"
"1205","10"
"1292","10"
"1756","10"
"2254","10"
"2638","10"
"6715","10"
"22352","10"
"31203","10"
"35427","10"
"38899","10"
"39854","10"
"48749","10"
"48835","10"
"8","11"
"17","11"
"1504","11"
"1505","11"
"7180","11"
"12008","11"
"30796","11"
"48734","11"
"58363","11"
"9","12"
"781","12"
"7491","12"
"10654","12"
"13635","12"
"13636","12"
"13637","12"
"20415","12"
"36325","12"
"56133","12"
"10","13"
"101","13"
"304","13"
"364","13"
"1015","13"
"1746","13"
"2512","13"
"4437","13"
"6618","13"
"8082","13"
"11518","13"
"16548","13"
"17929","13"
"33030","13"
"33684","13"
"41286","13"
"11","14"
"3022","14"
"8346","14"
"8491","14"
"19961","14"
"19962","14"
"12","15"
"65","15"
"122","15"
"2600","15"
"3114","15"
"3152","15"
"3582","15"
"3911","15"
"5867","15"
"7155","15"
"9248","15"
"11391","15"
"20737","15"
"24552","15"
"32600","15"
"38261","15"
"46323","15"
"60877","15"
"13","16"
"1888","16"
"10029","16"
"10567","16"
"13310","16"
"19446","16"
"20879","16"
"22798","16"
"22830","16"
"24768","16"
"28923","16"
"28965","16"
"14","17"
"103","17"
"1181","17"
"4149","17"
"14344","17"
"23735","17"
"24444","17"
"31652","17"
"33226","17"
"33227","17"
"35329","17"
"37139","17"
"43958","17"
"49032","17"
"53984","17"
"15","18"
"25","18"
"205","18"
"374","18"
"1910","18"
"1939","18"
"2015","18"
"13935","18"
"16981","18"
"31171","18"
"38352","18"
"18","19"
"6055","19"
"6619","19"
"24938","19"
"31836","19"
"19","20"
"1040","20"
"2138","20"
"2288","20"
"4411","20"
"5635","20"
